subject,experiment_name,age,condition,trial_type,trial_index,choice_image,choice_audio,target_image,foil_image,test_audio,target_label,is_right,available_image1,available_image2,available_image3,available_image4
p104,1,6.38,active,test,21,stims/6.png,NA,stims/6.png,stims/1.png,stims/norm_where_soma.wav,soma,1,NA,NA,NA,NA
p104,1,6.38,active,test,22,stims/7.png,NA,stims/5.png,stims/7.png,stims/norm_find_kita.wav,kita,0,NA,NA,NA,NA
p104,1,6.38,active,learning,23,stims/2.png,stims/norm_that_tesser.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/4.png,stims/3.png
p104,1,6.38,active,learning,24,stims/8.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/4.png,stims/3.png
p104,1,6.38,active,learning,25,stims/4.png,stims/norm_it_roozer.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/4.png,stims/3.png
p104,1,6.38,active,learning,26,stims/3.png,stims/norm_that_manu.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/4.png,stims/3.png
p104,1,6.38,active,learning,27,stims/2.png,stims/norm_that_tesser.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/4.png,stims/3.png
p104,1,6.38,active,learning,28,stims/8.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/4.png,stims/3.png
p104,1,6.38,active,learning,29,stims/3.png,stims/norm_that_manu.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/4.png,stims/3.png
p104,1,6.38,active,learning,30,stims/4.png,stims/norm_it_roozer.wav,NA,NA,NA,NA,NA,stims/2.png,stims/8.png,stims/4.png,stims/3.png
p104,1,6.38,active,test,31,stims/8.png,NA,stims/8.png,stims/4.png,stims/norm_find_finna.wav,finna,1,NA,NA,NA,NA
p104,1,6.38,active,test,32,stims/8.png,NA,stims/8.png,stims/4.png,stims/norm_find_finna.wav,finna,1,NA,NA,NA,NA
p104,1,6.38,active,test,33,stims/2.png,NA,stims/2.png,stims/3.png,stims/norm_where_tesser.wav,tesser,1,NA,NA,NA,NA
p104,1,6.38,active,test,34,stims/3.png,NA,stims/3.png,stims/2.png,stims/norm_find_manu.wav,manu,1,NA,NA,NA,NA
p104,1,6.38,active,test,35,stims/2.png,NA,stims/2.png,stims/3.png,stims/norm_where_tesser.wav,tesser,1,NA,NA,NA,NA
p104,1,6.38,active,test,36,stims/4.png,NA,stims/4.png,stims/8.png,stims/norm_where_roozer.wav,roozer,1,NA,NA,NA,NA
p104,1,6.38,active,test,37,stims/4.png,NA,stims/4.png,stims/8.png,stims/norm_where_roozer.wav,roozer,1,NA,NA,NA,NA
p104,1,6.38,active,test,38,stims/3.png,NA,stims/3.png,stims/2.png,stims/norm_find_manu.wav,manu,1,NA,NA,NA,NA
p105,1,5.33,active,fam-learning,1,stims/cow.png,stims/norm_that_cow.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p105,1,5.33,active,fam-learning,2,stims/penguin.png,stims/norm_it_penguin.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p105,1,5.33,active,fam-learning,3,stims/pig.png,stims/norm_that_pig.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p105,1,5.33,active,fam-learning,4,stims/penguin.png,stims/norm_it_penguin.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p105,1,5.33,active,familiar-test,5,stims/cow.png,NA,stims/cow.png,stims/penguin.png,stims/norm_where_penguin.wav,penguin,1,NA,NA,NA,NA
p105,1,5.33,active,familiar-test,6,stims/pig.png,NA,stims/pig.png,stims/bear.png,stims/norm_find_pig.wav,pig,1,NA,NA,NA,NA
p105,1,5.33,active,learning,7,stims/3.png,stims/norm_that_finna.wav,NA,NA,NA,NA,NA,stims/1.png,stims/4.png,stims/3.png,stims/6.png
p105,1,5.33,active,learning,8,stims/1.png,stims/norm_it_beppo.wav,NA,NA,NA,NA,NA,stims/1.png,stims/4.png,stims/3.png,stims/6.png
p105,1,5.33,active,learning,9,stims/1.png,stims/norm_it_beppo.wav,NA,NA,NA,NA,NA,stims/1.png,stims/4.png,stims/3.png,stims/6.png
p105,1,5.33,active,learning,10,stims/6.png,stims/norm_that_kita.wav,NA,NA,NA,NA,NA,stims/1.png,stims/4.png,stims/3.png,stims/6.png
