subject,age_group,experiment_name,sampling_condition,trial_type,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,random_image1,random_image2,choice_label,random_label,random_label1,random_label2,target_image,target_label,is_right,trial_index
p397175,adults,Crossact_active_passive,passive,learning,finna,tesser,stims/4.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
p397175,adults,Crossact_active_passive,passive,learning,sibu,roozer,stims/29.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
p397175,adults,Crossact_active_passive,passive,learning,roozer,sibu,stims/29.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
p397175,adults,Crossact_active_passive,passive,learning,deela,finna,stims/9.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
p397175,adults,Crossact_active_passive,passive,learning,deela,tesser,stims/4.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
p397175,adults,Crossact_active_passive,passive,learning,manu,kita,stims/1.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
p397175,adults,Crossact_active_passive,passive,selection,NA,NA,stims/12.png,stims/6.png,stims/7.png,stims/1.png,stims/29.png,stims/9.png,stims/4.png,stims/8.png,NA,NA,stims/29.png,stims/8.png,NA,NA,sibu,deela,NA,NA,NA,25
p397175,adults,Crossact_active_passive,passive,selection,NA,NA,stims/12.png,stims/6.png,stims/7.png,stims/1.png,stims/29.png,stims/9.png,stims/4.png,stims/8.png,NA,NA,stims/4.png,stims/6.png,NA,NA,tesser,roozer,NA,NA,NA,26
p397175,adults,Crossact_active_passive,passive,selection,NA,NA,stims/12.png,stims/6.png,stims/7.png,stims/1.png,stims/29.png,stims/9.png,stims/4.png,stims/8.png,NA,NA,stims/12.png,stims/4.png,NA,NA,kita,tesser,NA,NA,NA,27
p397175,adults,Crossact_active_passive,passive,selection,NA,NA,stims/12.png,stims/6.png,stims/7.png,stims/1.png,stims/29.png,stims/9.png,stims/4.png,stims/8.png,NA,NA,stims/9.png,stims/4.png,NA,NA,finna,tesser,NA,NA,NA,28
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/1.png,stims/12.png,stims/6.png,stims/29.png,stims/7.png,stims/4.png,stims/9.png,stims/8.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,stims/7.png,guffi,0,29
p397175,adults,Crossact_active_passive,passive,test,NA,NA,stims/29.png,stims/7.png,stims/4.png,stims/6.png,stims/8.png,stims/12.png,stims/9.png,stims/1.png,stims/29.png,NA,NA,NA,NA,NA,NA,NA,stims/12.png,kita,0,30
